X11,X12,X13,X14,X21,X22,X23,X25,X31,X34,X35,X36,X41,X42,X45,X46,X51,X52,X53,X56,X61,X64,X65,X66
,,,,,,1,,,1,,,1,,,,,1,,,,,,1
,,,,,,1,,,1,,,,,1,,,1,,,1,,,
1,,,,,,1,,,1,,,,,1,,,1,,,,,,1
,1,,,,,,,1,,,,,,1,,,,1,,,,,1
,1,,,1,,,,,,,,,,1,,,,,1,,1,,
,1,,,1,,,,,1,,,,,,,,,,1,,,1,
,1,,,1,,,,,1,,,,,1,,,,1,,,,,1
,1,,,1,,,,,1,,,,,1,,,,,1,,,,
,1,,,1,,,,,,1,,,,,,,,,1,,1,,
,1,,,,,1,,1,,,,,,1,,,,,,,,,1
,1,,,,,1,,1,,,,,,1,,,,,1,,1,,
,1,,,,,1,,,1,,,1,,,,,,,,,,,1
,1,,,,,1,,,1,,,1,,,,,,,1,,,1,
,1,,,,,1,,,1,,,,,1,,1,,,,,,,1
,1,,,,,1,,,1,,,,,1,,,,,1,1,,,
,1,,,,,1,,,,1,,1,,,,,,,1,,1,,
,1,,,,,,1,1,,,,,,,,,,1,,,,,1
,1,,,,,,1,,1,,,1,,,,,,1,,,,,1
,,1,,,,,,1,,,,,,1,,,1,,,,,,1
,,1,,,,,,,1,,,,,1,,,1,,,1,,,
,,1,,1,,,,,1,,,,,1,,,1,,,,,,1
,,1,,,,,1,1,,,,,,,,,1,,,,,,1
,,1,,,,,1,1,,,,,,,1,,1,,,,1,,
,,1,,,,,1,,1,,,1,,,,,1,,,,,,1
,,1,,,,,1,,1,,,,,,1,,1,,,1,,,
,,,1,,,1,,1,,,,,,1,,,1,,,,,,1
,,,1,,,1,,,,1,,1,,,,,1,,,,,,1
,,,1,,,1,,,,1,,,,,1,,1,,,1,,,
,,,1,,,1,,,,,1,,,1,,,1,,,1,,,
